product_id,pred_segment,shap_push,shap_push_val,shap_barrier,shap_barrier_val,recommendation_text
B07W9KYT62,QUALITY_FIRST,savings_ratio,1.2717,rating,-2.1675,Key driver: savings_ratio. Main barrier: rating. Optimise rating to shift toward a higher-value segment.
B0123P3PWE,NICHE_EXPLORER,review_percentile,2.5342,social_proof_score,-0.3497,Key driver: review_percentile. Main barrier: social_proof_score. Optimise social_proof_score to shift toward a higher-value segment.
B0B3RRWSF6,DEAL_SEEKER,savings_ratio,3.7468,about_length,-0.2359,Discount (savings_ratio=0.80) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B09P22HXH6,DEAL_SEEKER,savings_ratio,3.6651,about_length,-0.2154,Discount (savings_ratio=0.66) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B07YNHCW6N,DEAL_SEEKER,savings_ratio,3.6633,tfidf_10,-0.3798,Discount (savings_ratio=0.78) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B09LRZYBH1,QUALITY_FIRST,rating,3.1018,price_savings,-0.1786,Key driver: rating. Main barrier: price_savings. Optimise price_savings to shift toward a higher-value segment.
B008LN8KDM,SOCIAL_PROOF,rating,1.9245,tfidf_black,-0.2374,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B08FGNPQ9X,DEAL_SEEKER,savings_ratio,3.6312,price_vs_median,-0.2036,Discount (savings_ratio=0.60) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B08QSC1XY8,DEAL_SEEKER,savings_ratio,3.8645,tfidf_cable,-0.0859,Discount (savings_ratio=0.65) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B07XCM6T4N,DEAL_SEEKER,savings_ratio,3.8048,review_log,-0.1709,Low review volume (log=10.12) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B00R1P3B4O,SOCIAL_PROOF,rating,2.7462,tfidf_black,-0.2183,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B09VKWGZD7,DEAL_SEEKER,savings_ratio,3.2737,trust_score,-0.3013,Low trust_score (2.28) is barrier to QUALITY_FIRST. Improving seller rating and response rate could boost trust score by 0.2+ and shift segment.
B08JV91JTK,DEAL_SEEKER,savings_ratio,3.7562,tfidf_electric,-0.4924,Discount (savings_ratio=0.64) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B00H0B29DI,QUALITY_FIRST,rating,3.3227,tfidf_black,-0.2809,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B00HVXS7WC,NICHE_EXPLORER,review_percentile,2.7165,price_percentile,-0.3055,Key driver: review_percentile. Main barrier: price_percentile. Optimise price_percentile to shift toward a higher-value segment.
B08YRMBK9R,DEAL_SEEKER,savings_ratio,3.4069,tfidf_electric,-0.4924,Discount (savings_ratio=0.48) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B09NHVCHS9,DEAL_SEEKER,savings_ratio,3.8608,price_savings,-0.314,Discount (savings_ratio=0.70) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B01DEWVZ2C,NICHE_EXPLORER,review_percentile,2.6588,tfidf_black,-0.3608,Key driver: review_percentile. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B07CRL2GY6,DEAL_SEEKER,savings_ratio,3.8784,review_log,-0.1721,Low review volume (log=11.45) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B09DSQXCM8,QUALITY_FIRST,rating,3.2026,keyword_density,-0.5047,Key driver: rating. Main barrier: keyword_density. Optimise keyword_density to shift toward a higher-value segment.
B09C6HWG18,DEAL_SEEKER,savings_ratio,3.4069,tfidf_charging,-0.2188,Discount (savings_ratio=0.51) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B097XJQZ8H,DEAL_SEEKER,savings_ratio,3.7099,review_log,-0.1669,Low review volume (log=9.09) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B08NW8GHCJ,DEAL_SEEKER,savings_ratio,3.8625,about_length,-0.2919,Discount (savings_ratio=0.61) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B07LG96SDB,QUALITY_FIRST,rating,3.4628,tfidf_black,-0.3546,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B09JS562TP,QUALITY_FIRST,review_percentile,1.1024,keyword_density,-0.4579,Key driver: review_percentile. Main barrier: keyword_density. Optimise keyword_density to shift toward a higher-value segment.
B09GYBZPHF,DEAL_SEEKER,savings_ratio,3.4047,rating,-0.714,Low product rating (3.8★) prevents QUALITY_FIRST entry. Improve review quality — target 4.2★+ for threshold crossing.
B075ZTJ9XR,DEAL_SEEKER,savings_ratio,3.9173,review_log,-0.1721,Low review volume (log=10.49) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B09N6TTHT6,QUALITY_FIRST,review_percentile,0.8257,rating,-0.5408,Key driver: review_percentile. Main barrier: rating. Optimise rating to shift toward a higher-value segment.
B00SH18114,DEAL_SEEKER,savings_ratio,2.7898,trust_score,-1.7149,Low trust_score (2.48) is barrier to QUALITY_FIRST. Improving seller rating and response rate could boost trust score by 0.2+ and shift segment.
B08498H13H,DEAL_SEEKER,savings_ratio,3.5739,social_proof_score,-0.1918,Discount (savings_ratio=0.57) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B07LG59NPV,DEAL_SEEKER,savings_ratio,3.4793,rating,-0.7663,Low product rating (3.8★) prevents QUALITY_FIRST entry. Improve review quality — target 4.2★+ for threshold crossing.
B09X7DY7Q4,DEAL_SEEKER,savings_ratio,3.0812,trust_score,-1.6904,Low trust_score (2.34) is barrier to QUALITY_FIRST. Improving seller rating and response rate could boost trust score by 0.2+ and shift segment.
B0BBLHTRM9,QUALITY_FIRST,rating,5.7567,savings_ratio,-1.189,Key driver: rating. Main barrier: savings_ratio. Optimise savings_ratio to shift toward a higher-value segment.
B009UORDX4,SOCIAL_PROOF,rating,1.9468,tfidf_black,-0.2362,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B07Z1YVP72,DEAL_SEEKER,savings_ratio,3.8019,review_log,-0.1718,Low review volume (log=9.34) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B096MSW6CT,DEAL_SEEKER,savings_ratio,3.771,about_length,-0.3047,Discount (savings_ratio=0.90) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B0BMXMLSMM,DEAL_SEEKER,savings_ratio,3.8606,about_length,-0.2716,Discount (savings_ratio=0.80) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B07JF9B592,QUALITY_FIRST,rating,3.6061,tfidf_black,-0.3063,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B0B4DT8MKT,DEAL_SEEKER,savings_ratio,3.6822,tfidf_charging,-0.2188,Discount (savings_ratio=0.77) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B09KRHXTLN,QUALITY_FIRST,rating,3.0561,keyword_density,-0.398,Key driver: rating. Main barrier: keyword_density. Optimise keyword_density to shift toward a higher-value segment.
B00LM4W1N2,SOCIAL_PROOF,rating,1.9257,tfidf_black,-0.2452,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B08V9C4B1J,DEAL_SEEKER,savings_ratio,3.8263,about_length,-0.2808,Discount (savings_ratio=0.65) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B083342NKJ,SOCIAL_PROOF,rating,2.751,tfidf_black,-0.2051,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B08ZJDWTJ1,SOCIAL_PROOF,rating,2.6488,tfidf_black,-0.2172,Key driver: rating. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B014I8SSD0,NICHE_EXPLORER,review_percentile,2.1539,rating,-1.4461,Key driver: review_percentile. Main barrier: rating. Optimise rating to shift toward a higher-value segment.
B0B84QN4CN,QUALITY_FIRST,rating,5.0866,review_log,-0.6239,Low review volume (log=4.52) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B09939XJX8,DEAL_SEEKER,savings_ratio,3.7039,about_length,-0.2865,Discount (savings_ratio=0.76) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B0BBFJ9M3X,QUALITY_FIRST,rating,3.4316,price_savings,-0.2395,Key driver: rating. Main barrier: price_savings. Optimise price_savings to shift toward a higher-value segment.
B09DL9978Y,DEAL_SEEKER,savings_ratio,3.4033,social_proof_score,-0.1659,Discount (savings_ratio=0.48) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B075TJHWVC,DEAL_SEEKER,savings_ratio,3.8344,review_log,-0.2025,Low review volume (log=8.10) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B01MY839VW,DEAL_SEEKER,savings_ratio,3.3714,tfidf_electric,-0.4924,Discount (savings_ratio=0.50) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B0BCVJ3PVP,DEAL_SEEKER,savings_ratio,3.7726,about_length,-0.2788,Discount (savings_ratio=0.62) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B07D2NMTTV,QUALITY_FIRST,review_percentile,1.1227,review_sentiment,-0.3296,Key driver: review_percentile. Main barrier: review_sentiment. Optimise review_sentiment to shift toward a higher-value segment.
B07WGPBXY9,QUALITY_FIRST,rating,4.9228,review_percentile,-1.7055,Key driver: rating. Main barrier: review_percentile. Optimise review_percentile to shift toward a higher-value segment.
B08MZNT7GP,QUALITY_FIRST,savings_ratio,1.0976,tfidf_black,-0.2716,Key driver: savings_ratio. Main barrier: tfidf_black. Optimise tfidf_black to shift toward a higher-value segment.
B00NH11PEY,DEAL_SEEKER,savings_ratio,3.9275,review_log,-0.1721,Low review volume (log=11.22) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B0856HY85J,DEAL_SEEKER,savings_ratio,3.7112,tfidf_mic,-0.3951,Discount (savings_ratio=0.64) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B09YV4RG4D,DEAL_SEEKER,savings_ratio,3.7736,about_length,-0.2359,Discount (savings_ratio=0.81) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B08HF4W2CT,DEAL_SEEKER,savings_ratio,3.6575,tfidf_charging,-0.2188,Discount (savings_ratio=0.54) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B07GXHC691,DEAL_SEEKER,savings_ratio,3.9284,about_length,-0.2241,Discount (savings_ratio=0.80) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B00LP9RFSU,QUALITY_FIRST,review_percentile,1.126,keyword_density,-0.3648,Key driver: review_percentile. Main barrier: keyword_density. Optimise keyword_density to shift toward a higher-value segment.
B09C635BMM,DEAL_SEEKER,savings_ratio,3.8489,price_savings,-0.0845,Discount (savings_ratio=0.65) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B09NC2TY11,DEAL_SEEKER,savings_ratio,3.7571,about_length,-0.2395,Discount (savings_ratio=0.58) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B09NTHQRW3,QUALITY_FIRST,review_percentile,1.0658,keyword_density,-0.4269,Key driver: review_percentile. Main barrier: keyword_density. Optimise keyword_density to shift toward a higher-value segment.
B0B1NX6JTN,QUALITY_FIRST,savings_ratio,1.2388,rating,-2.2841,Key driver: savings_ratio. Main barrier: rating. Optimise rating to shift toward a higher-value segment.
B07TTSS5MP,QUALITY_FIRST,rating,3.2023,keyword_density,-0.2619,Key driver: rating. Main barrier: keyword_density. Optimise keyword_density to shift toward a higher-value segment.
B0756K5DYZ,DEAL_SEEKER,savings_ratio,3.6205,review_log,-0.1496,Low review volume (log=10.67) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B08TDJNM3G,QUALITY_FIRST,rating,3.8266,word_count,-0.0741,Key driver: rating. Main barrier: word_count. Optimise word_count to shift toward a higher-value segment.
B08FN6WGDQ,DEAL_SEEKER,savings_ratio,3.5734,tfidf_mic,-0.3951,Discount (savings_ratio=0.70) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B083RD1J99,QUALITY_FIRST,review_percentile,1.1078,review_sentiment,-0.1925,Key driver: review_percentile. Main barrier: review_sentiment. Optimise review_sentiment to shift toward a higher-value segment.
B09ZVJXN5L,QUALITY_FIRST,rating,5.4446,review_log,-0.5428,Low review volume (log=2.20) limits SOCIAL_PROOF signal. Incentivise reviews — target 50+ reviews for stronger classification.
B0BCKJJN8R,DEAL_SEEKER,savings_ratio,3.5201,review_percentile,-0.1386,Discount (savings_ratio=0.51) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B0B2DJDCPX,DEAL_SEEKER,savings_ratio,3.7803,about_length,-0.367,Discount (savings_ratio=0.58) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
B08Y1TFSP6,DEAL_SEEKER,savings_ratio,3.767,tfidf_charging,-0.2188,Discount (savings_ratio=0.85) is your primary DEAL_SEEKER driver. Maintain for deal-seeker conversions or reduce to <0.3 to attract quality buyers.
